epoch: train_loss
1: 2.4344676177547377
2: 2.1841531980928015
3: 2.1146880858636266
4: 2.0656446311462817
5: 2.0100767595123474
6: 1.9819441855505295
7: 1.9252203080879484
8: 1.9051343478355987
9: 1.8746686815348825
10: 1.879986633706077
11: 1.8607864288880347
12: 1.8426662916705376
13: 1.834472150260537
14: 1.812511938696103
15: 1.8072558077691174
16: 1.8063571323878862
17: 1.7979063125769192
18: 1.7751949600880301
19: 1.7756596523960615
20: 1.7622086997073136
21: 1.7638273817749899
22: 1.763779231120007
23: 1.7609561399482214
24: 1.754651709179648
25: 1.7468902825206143
26: 1.7516376320408105
27: 1.7391530108113047
28: 1.7296976689778647
29: 1.7229432293065556
30: 1.730317872936018
31: 1.7315408423769498
32: 1.7186693818224084
33: 1.7276189158826338
34: 1.7199940268105414
35: 1.710803955182758
36: 1.7122799658412895
37: 1.7045859439989155
38: 1.695798766963622
39: 1.7010368212555231
40: 1.6946367154000062
41: 1.7036503001466463
42: 1.6965520323819856
43: 1.686059259730148
44: 1.6878481343418104
45: 1.6903247743923775
46: 1.690662392522827
47: 1.6826277716086546
48: 1.686952916069371
49: 1.6859445098371437
50: 1.6843332167362741
51: 1.673328261283243
52: 1.6764091073836385
53: 1.6649477196179001
54: 1.6808527937406392
55: 1.6719247622751512
56: 1.6709790074974988
57: 1.6743787916602477
58: 1.666455524149354
59: 1.6732644025883923
60: 1.6681526226865009
61: 1.6740678370747437
62: 1.6698609470375625
63: 1.6606614953307073
64: 1.6567669749969058
65: 1.6488356959402206
66: 1.6640215943329237
67: 1.6607937845109082
68: 1.657115611172006
69: 1.658078134059906
70: 1.6548141142980042
71: 1.6511298222054887
72: 1.6447675379789672
73: 1.6481530933843411
74: 1.656698489457034
75: 1.6344964282842007
76: 1.6541871282728162
77: 1.649364964193212
78: 1.6460899910978821
79: 1.6394790354956086
80: 1.6427797845516154
81: 1.636875261534781
82: 1.6414632110192298
83: 1.637241356729752
84: 1.6340601782352027
85: 1.6323030982794386
86: 1.6392652014786253
87: 1.629845126823172
88: 1.6418220731038884
89: 1.6309519304259281
90: 1.6324031693418926
91: 1.6245883325433699
92: 1.6291568881812981
93: 1.6289467502333672
94: 1.6245535042553017
95: 1.6251174190228772
96: 1.6194708748903404
97: 1.6257622990479
98: 1.6240713853396411
99: 1.614379381304219
100: 1.6185569022951423
